Movie,Ratings
207. The Seventh Seal, 195000
208. Room, 442000
209. The Big Lebowski, 844000
210. Ratatouille, 797000
211. Tokyo Story, 67000
212. Rocky, 615000
213. Hotel Rwanda, 367000
214. Logan, 810000
215. Spotlight, 493000
216. Platoon, 431000
217. The Passion of Joan of Arc, 59000
218. The Terminator, 906000
219. Jai Bhim, 212000
220. Before Sunset, 282000
221. Rush, 503000
222. Network, 167000
223. The Exorcist, 445000
224. The Best Years of Our Lives, 69000
225. Stand by Me, 431000
226. La haine, 190000
227. Pirates of the Caribbean: The Curse of the Black Pearl, 1.2M
228. The Wizard of Oz, 420000
229. The Incredibles, 786000
230. Into the Wild, 647000
231. My Father and My Son, 90000
232. Hachi: A Dog's Tale, 304000
233. The Handmaiden, 165000
234. To Be or Not to Be, 41000
235. Groundhog Day, 668000
236. The Battle of Algiers, 64000
237. The Grapes of Wrath, 98000
238. Amores perros, 250000
239. The Sound of Music, 252000
240. Rebecca, 144000
241. Cool Hand Luke, 186000
242. The Iron Giant, 219000
243. Pather Panchali, 37000
244. It Happened One Night, 110000
245. The Help, 483000
246. The 400 Blows, 125000
247. Aladdin, 453000
248. Dances with Wolves, 284000
249. Drishyam, 92000
250. Persona, 128000
